qid,category,sub_type,question,latitude,longitude,expected_modalities,condition,system_model,judge_model,selected_modalities,response,G,A,C,H,U,weighted_score
SM_01,single_modality,land_cover,"What is the dominant land cover near 43.4 N, 93.5 W?",43.4,-93.5,"['s2_optical']",ae_only,claude-sonnet-4.6,gpt-oss-120b,"['alphaearth']","Based on the AlphaEarth retrievals, the area near 43.4 N, 93.5 W in north-central Iowa is dominated by row-crop agriculture, primarily cultivated cropland with a corn-soybean rotation. The five nearest neighbors in the embedding index show consistent agricultural patches across the upper Midwest, with NLCD class 82 (cultivated crops) being the modal label. The surrounding hexes show a uniform agricultural matrix with limited natural vegetation cover, characteristic of the Des Moines Lobe.",4,4,4,4,4,4.00
SM_01,single_modality,land_cover,"What is the dominant land cover near 43.4 N, 93.5 W?",43.4,-93.5,"['s2_optical']",multi_select,claude-sonnet-4.6,gpt-oss-120b,"['s2_optical', 's2_phenology']","The patch at 43.4 N, 93.5 W sits in the heart of the U.S. Corn Belt. S2-Optical retrievals return five cultivated cropland patches in close embedding space; S2-Phenology retrievals confirm the characteristic two-peak NDVI seasonal signature of annual row crops. The dominant land cover is cultivated cropland (NLCD 82), with the phenology embedding placing this patch among other Iowa-Illinois grain-belt locations.",5,5,4,5,4,4.65
SM_01,single_modality,land_cover,"What is the dominant land cover near 43.4 N, 93.5 W?",43.4,-93.5,"['s2_optical']",dual_rag,claude-sonnet-4.6,gpt-oss-120b,"['s2_optical', 's2_phenology', 'alphaearth']","Cross-referencing S2-Optical reflectance neighbors, S2-Phenology seasonal signatures, and AlphaEarth nearest neighbors, the area is consistently identified as cultivated cropland (NLCD 82, corn-soybean rotation). All three retrieval streams converge on the same characterization: dominant row-crop agriculture with a sharp seasonal NDVI cycle, characteristic of the Des Moines Lobe. The AlphaEarth retrievals add broader land-system context, while the two Mini-JEPA retrievals anchor the optical and phenological specifics.",5,5,5,5,5,5.00
SM_04,single_modality,thermal,"What is the average growing-season land surface temperature regime near 39.7 N, 104.9 W?",39.7,-104.9,"['modis_lst']",ae_only,claude-sonnet-4.6,gpt-oss-120b,"['alphaearth']","The area near 39.7 N, 104.9 W is in the Denver, Colorado metropolitan area, on the Front Range of the Rocky Mountains. The growing-season climate is semi-arid continental with warm summers and cool nights. AlphaEarth retrievals identify the area as a mix of urban and short-grass prairie landscapes typical of the High Plains-Rocky Mountain transition.",4,4,3,4,3,3.75
SM_04,single_modality,thermal,"What is the average growing-season land surface temperature regime near 39.7 N, 104.9 W?",39.7,-104.9,"['modis_lst']",multi_select,claude-sonnet-4.6,gpt-oss-120b,"['modis_lst']","The MODIS-Thermal retrievals at 39.7 N, 104.9 W (Denver, Colorado) return five neighbors with similar day/night land surface temperature signatures, indicating a growing-season day-LST regime of ~28-32 C and night-LST of ~10-14 C. The patch sits in the semi-arid continental High Plains-Rocky Mountain transition, where elevation (~1600 m) moderates summer day-time maxima while supporting strong diurnal cooling. MODIS-Thermal is the appropriate Mini-JEPA for this question because the model encodes thermal emission directly, and its variable best-predicted is mean annual temperature with cross-validated R-squared near 0.97.",5,5,5,5,5,5.00
SAR_03,sar_favorable,inundation,"After heavy rainfall, is the area near 33.6 N, 91.0 W likely to be flooded under cloud cover?",33.6,-91.0,"['s1_sar']",ae_only,claude-sonnet-4.6,gpt-oss-120b,"['alphaearth']","The AlphaEarth retrievals indicate this area sits in the Mississippi Alluvial Plain, a region historically prone to seasonal flooding. The land cover is predominantly agricultural with hydric soils. Under heavy rainfall, the area is susceptible to flooding, but AlphaEarth's annual median composite cannot directly confirm current inundation status under cloud cover.",3,3,3,4,3,3.15
SAR_03,sar_favorable,inundation,"After heavy rainfall, is the area near 33.6 N, 91.0 W likely to be flooded under cloud cover?",33.6,-91.0,"['s1_sar']",multi_select,claude-sonnet-4.6,gpt-oss-120b,"['s1_sar', 'topo_soil']","S1-SAR is the appropriate sensor here because C-band SAR penetrates cloud cover and is sensitive to surface inundation. The S1-SAR retrievals at 33.6 N, 91.0 W return patches with low VV/VH backscatter consistent with smooth, water-covered surfaces. The Topo-Soil retrievals confirm the area sits on the Mississippi Alluvial Plain (elevation ~40 m, poorly-drained alluvial soils, near-zero slope). Together the two retrievals indicate the area is highly susceptible to inundation and shows backscatter signatures consistent with recent flooding.",5,5,5,4,5,4.85
SAR_03,sar_favorable,inundation,"After heavy rainfall, is the area near 33.6 N, 91.0 W likely to be flooded under cloud cover?",33.6,-91.0,"['s1_sar']",dual_rag,claude-sonnet-4.6,gpt-oss-120b,"['s1_sar', 'topo_soil', 'alphaearth']","The S1-SAR retrievals at 33.6 N, 91.0 W show low C-band backscatter values consistent with water-covered or saturated surfaces; SAR is the only sensor in the fleet that sees through cloud cover. Topo-Soil retrievals confirm a low-elevation alluvial setting (~40 m, poorly-drained soils, near-zero slope). AlphaEarth adds broader land-system context, placing the patch in the Mississippi Alluvial Plain among other flood-prone agricultural lowlands. The composite evidence indicates the area is highly susceptible to inundation under heavy rainfall, and the SAR signal supports an active flooding interpretation despite cloud cover.",5,5,5,5,5,5.00
MM_02,multi_modality,irrigation_detection,"Identify likely center-pivot irrigated agriculture near 41.2 N, 101.7 W using complementary sensor signals.",41.2,-101.7,"['s2_optical', 's1_sar', 's2_phenology']",ae_only,claude-sonnet-4.6,gpt-oss-120b,"['alphaearth']","The AlphaEarth retrievals identify the area as agricultural land in the Nebraska Sand Hills periphery, with characteristics consistent with irrigated cropland over the Ogallala Aquifer. Center-pivot irrigation is common in this region.",3,4,3,4,3,3.30
MM_02,multi_modality,irrigation_detection,"Identify likely center-pivot irrigated agriculture near 41.2 N, 101.7 W using complementary sensor signals.",41.2,-101.7,"['s2_optical', 's1_sar', 's2_phenology']",multi_select,claude-sonnet-4.6,gpt-oss-120b,"['s2_optical', 's2_phenology', 's1_sar']","The patch near 41.2 N, 101.7 W in western Nebraska shows three convergent sensor signatures of center-pivot irrigation: S2-Optical retrievals capture the characteristic circular geometry in NIR reflectance neighborhoods; S2-Phenology retrievals show a sustained green-up across the growing season inconsistent with rainfed dryland farming in this semi-arid setting; S1-SAR retrievals show backscatter patterns sensitive to soil moisture differences inside versus outside pivot footprints. The composite from three Mini-JEPAs strongly supports center-pivot irrigated agriculture across the patch.",5,5,5,5,5,5.00
